epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,19608.8,0.81092,0.35202,0.00375,0.91939,0.91346,0.96376,0.70642,0.99755,0.46407,0.00764,0.00098525,0.00098525,0.00098525
43,20070.4,0.82594,0.35463,0.00399,0.90047,0.93997,0.95904,0.73212,0.9433,0.42281,0.00709,0.0009605,0.0009605,0.0009605
44,20532.4,0.81062,0.3652,0.00382,0.91407,0.92104,0.95478,0.73961,0.87627,0.43724,0.00654,0.00093575,0.00093575,0.00093575
45,20999.8,0.79217,0.34396,0.00371,0.94199,0.90043,0.96053,0.74768,0.87407,0.41418,0.0063,0.000911,0.000911,0.000911
46,21454.3,0.78229,0.34794,0.00368,0.93675,0.89759,0.96165,0.74471,0.88231,0.43131,0.00636,0.00088625,0.00088625,0.00088625
47,21909.7,0.80934,0.36319,0.00364,0.91103,0.90693,0.95002,0.73964,0.87374,0.47185,0.00646,0.0008615,0.0008615,0.0008615
48,22364.2,0.78595,0.35699,0.00373,0.92969,0.91585,0.96309,0.75487,0.84604,0.41373,0.00625,0.00083675,0.00083675,0.00083675
49,22818.6,0.77883,0.34486,0.00357,0.92032,0.93506,0.96564,0.73691,0.91259,0.42648,0.00664,0.000812,0.000812,0.000812
50,23273.9,0.79878,0.35543,0.00357,0.91781,0.91845,0.96277,0.70785,0.97373,0.46073,0.007,0.00078725,0.00078725,0.00078725
51,23728.5,0.75787,0.32629,0.00349,0.93664,0.92424,0.97072,0.74918,0.89626,0.41137,0.00642,0.0007625,0.0007625,0.0007625
52,24182.5,0.7601,0.34354,0.00361,0.94041,0.92225,0.96444,0.74271,0.89415,0.4084,0.00637,0.00073775,0.00073775,0.00073775
53,24636.6,0.74224,0.32763,0.00344,0.9309,0.90397,0.96505,0.7516,0.87363,0.44626,0.00615,0.000713,0.000713,0.000713
54,25092.5,0.76985,0.33922,0.00352,0.93263,0.89896,0.96583,0.72677,0.96213,0.47283,0.0072,0.00068825,0.00068825,0.00068825
55,25550.5,0.74827,0.32776,0.00336,0.91789,0.92424,0.96305,0.73725,0.90907,0.43544,0.00643,0.0006635,0.0006635,0.0006635
56,26006.5,0.75707,0.33815,0.00338,0.92344,0.91775,0.96439,0.74558,0.89416,0.4532,0.0066,0.00063875,0.00063875,0.00063875
57,26460.5,0.74931,0.32338,0.00344,0.91979,0.91835,0.96779,0.73838,0.93047,0.43494,0.00679,0.000614,0.000614,0.000614
58,26916.2,0.75776,0.3279,0.00347,0.94101,0.88528,0.95678,0.73444,0.90859,0.47386,0.00644,0.00058925,0.00058925,0.00058925
59,27372.3,0.76382,0.33119,0.00351,0.95433,0.90466,0.96741,0.75646,0.85618,0.41524,0.0062,0.0005645,0.0005645,0.0005645
60,27827.6,0.76746,0.32818,0.00354,0.94353,0.90417,0.9709,0.75612,0.87145,0.39828,0.00644,0.00053975,0.00053975,0.00053975
61,28284.2,0.76974,0.33605,0.00357,0.93514,0.90494,0.96476,0.72793,0.96124,0.46694,0.0072,0.000515,0.000515,0.000515
62,28742.2,0.75944,0.32508,0.00344,0.93362,0.91329,0.96793,0.74593,0.88432,0.41825,0.00629,0.00049025,0.00049025,0.00049025
63,29199.9,0.73014,0.30231,0.00324,0.93004,0.92078,0.96714,0.75112,0.86868,0.4049,0.00605,0.0004655,0.0004655,0.0004655
64,29656.4,0.72138,0.31105,0.00329,0.92554,0.91472,0.96203,0.75072,0.8692,0.42985,0.00616,0.00044075,0.00044075,0.00044075
65,30113.4,0.73596,0.31071,0.00324,0.92335,0.91991,0.96048,0.73922,0.87639,0.4618,0.00621,0.000416,0.000416,0.000416
66,30570.5,0.71634,0.31049,0.00321,0.93533,0.90786,0.96287,0.75343,0.86136,0.46578,0.00602,0.00039125,0.00039125,0.00039125
67,31027.1,0.7321,0.30476,0.00324,0.9482,0.90909,0.96996,0.75855,0.87347,0.43318,0.0062,0.0003665,0.0003665,0.0003665
68,31483.4,0.73388,0.30883,0.00333,0.95276,0.91677,0.96958,0.75651,0.88211,0.41202,0.00621,0.00034175,0.00034175,0.00034175
69,31940.2,0.73473,0.31152,0.00343,0.9422,0.91738,0.96746,0.75704,0.87906,0.42695,0.00637,0.000317,0.000317,0.000317
70,32396.7,0.72545,0.30018,0.00322,0.94305,0.90909,0.96482,0.75558,0.87369,0.43162,0.00618,0.00029225,0.00029225,0.00029225
71,32844.1,0.64365,0.23068,0.00326,0.91331,0.91775,0.95307,0.74,0.90927,0.46666,0.0065,0.0002675,0.0002675,0.0002675
72,33290.9,0.62552,0.2308,0.00326,0.92951,0.91337,0.95615,0.75303,0.87398,0.46143,0.00619,0.00024275,0.00024275,0.00024275
73,33737.8,0.63839,0.23948,0.00321,0.95249,0.88745,0.95439,0.74328,0.91182,0.49522,0.00649,0.000218,0.000218,0.000218
74,34186.6,0.62039,0.22546,0.0032,0.94676,0.88745,0.95628,0.76259,0.86349,0.46863,0.00614,0.00019325,0.00019325,0.00019325
75,34634.3,0.61557,0.22707,0.00324,0.93826,0.90043,0.95821,0.74802,0.88814,0.46184,0.00624,0.0001685,0.0001685,0.0001685
76,35082.5,0.6121,0.22094,0.00316,0.93646,0.91558,0.96203,0.75691,0.8721,0.4364,0.00619,0.00014375,0.00014375,0.00014375
77,35530.5,0.61461,0.21857,0.00312,0.94597,0.90952,0.96028,0.75395,0.87654,0.45011,0.00624,0.000119,0.000119,0.000119
78,35980.5,0.60878,0.23056,0.00315,0.94608,0.91148,0.95947,0.75192,0.8752,0.45879,0.00619,9.425e-05,9.425e-05,9.425e-05
79,36430.5,0.61928,0.22487,0.00316,0.94639,0.89394,0.95931,0.75651,0.86428,0.46475,0.00611,6.95e-05,6.95e-05,6.95e-05
80,36878.4,0.6009,0.21842,0.00305,0.9465,0.89827,0.95852,0.75683,0.86355,0.46369,0.00612,4.475e-05,4.475e-05,4.475e-05
