image,dance_style,viewpoint,num_couples,avg_nearest_neighbor,std_nearest_neighbor,cv_nearest_neighbor,min_nearest_neighbor,max_nearest_neighbor
STD_FORM_FB_AD_AV_040.jpg,STD,AV,6,250.41,53.96,0.215,216.31,353.05
STD_FORM_FB_AD_AV_042.jpg,STD,AV,8,170.86,21.07,0.123,142.68,200.43
STD_FORM_FB_AD_AV_043.jpg,STD,AV,6,220.53,43.63,0.198,170.05,283.07
STD_FORM_FB_AD_AV_044.jpg,STD,AV,8,189.16,75.49,0.399,134.61,357.15
STD_FORM_FB_AD_AV_045.jpg,STD,AV,7,172.3,32.83,0.191,142.06,238.11
STD_FORM_FB_AD_AV_046.jpg,STD,AV,7,228.66,60.68,0.265,154.65,293.01
STD_FORM_FB_AD_AV_047.jpg,STD,AV,6,233.89,56.75,0.243,181.02,297.1
STD_FORM_FB_AD_AV_048.jpg,STD,AV,8,197.43,134.04,0.679,7.68,319.76
STD_FORM_FB_AD_AV_049.jpg,STD,AV,8,215.66,17.62,0.082,196.05,237.65
STD_FORM_FB_AD_AV_050.jpg,STD,AV,8,219.46,18.22,0.083,202.21,244.37
STD_FORM_FB_AD_AV_051.jpg,STD,AV,8,199.92,47.19,0.236,144.97,273.68
STD_FORM_FB_AD_AV_052.jpg,STD,AV,6,265.92,48.36,0.182,204.62,305.14
STD_FORM_FB_AD_AV_053.jpg,STD,AV,6,194.12,45.89,0.236,155.32,252.29
STD_FORM_FB_AD_AV_054.jpg,STD,AV,7,179.26,25.51,0.142,158.88,218.71
STD_FORM_FB_AD_AV_055.jpg,STD,AV,7,226.3,23.95,0.106,200.4,257.68
STD_FORM_FB_AD_AV_056.jpg,STD,AV,7,176.46,31.17,0.177,142.02,209.37
STD_FORM_FB_AD_AV_057.jpg,STD,AV,8,139.74,7.07,0.051,130.6,148.47
STD_FORM_FB_AD_AV_058.jpg,STD,AV,8,182.15,16.57,0.091,157.82,196.27
STD_FORM_FB_AD_AV_059.jpg,STD,AV,8,173.71,41.24,0.237,117.72,243.06
STD_FORM_FB_AD_AV_060.jpg,STD,AV,8,157.3,29.55,0.188,127.97,222.27
STD_FORM_FB_AD_AV_061.jpg,STD,AV,8,177.6,67.2,0.378,132.97,338.58
STD_FORM_FB_AD_AV_062.jpg,STD,AV,6,211.61,52.9,0.25,168.41,303.12
STD_FORM_FB_AD_AV_063.jpg,STD,AV,8,229.17,25.4,0.111,199.57,279.4
STD_FORM_FB_AD_AV_065.jpg,STD,AV,8,164.17,42.95,0.262,116.36,218.97
STD_FORM_FB_AD_AV_067.jpg,STD,AV,7,175.16,46.93,0.268,107.62,212.22
STD_FORM_FB_AD_AV_068.jpg,STD,AV,7,172.53,65.84,0.382,119.41,312.91
STD_FORM_FB_AD_AV_069.jpg,STD,AV,8,172.87,17.83,0.103,158.89,201.33
STD_FORM_FB_AD_AV_070.jpg,STD,AV,8,251.89,72.53,0.288,161.64,383.01
STD_FORM_FB_AD_AV_071.jpg,STD,AV,8,217.08,61.95,0.285,140.15,331.78
STD_FORM_FB_AD_AV_072.jpg,STD,AV,7,220.26,22.9,0.104,190.01,252.57
STD_FORM_FB_AD_AV_073.jpg,STD,AV,7,216.94,36.11,0.166,175.65,250.21
STD_FORM_FB_AD_AV_074.jpg,STD,AV,8,230.42,52.25,0.227,179.85,312.36
STD_FORM_FB_AD_AV_075.jpg,STD,AV,8,274.65,103.25,0.376,156.77,437.27
STD_FORM_FB_AD_AV_076.jpg,STD,AV,5,325.32,80.61,0.248,245.52,434.87
STD_FORM_FB_AD_AV_077.jpg,STD,AV,5,250.33,40.21,0.161,218.59,315.59
STD_FORM_FB_AD_AV_078.jpg,STD,AV,7,247.64,74.96,0.303,147.16,333.59
STD_FORM_FB_AD_AV_080.jpg,STD,AV,8,261.91,109.44,0.418,136.99,428.09
STD_FORM_FB_AD_AV_081.jpg,STD,AV,7,246.1,90.74,0.369,199.82,448.12
STD_FORM_FB_AD_AV_082.jpg,STD,AV,6,237.22,88.2,0.372,142.76,363.34
STD_FORM_FB_AD_AV_083.jpg,STD,AV,8,207.63,51.42,0.248,174.99,325.6
STD_FORM_FB_AD_AV_086.jpg,STD,AV,8,200.19,73.0,0.365,143.66,335.9
STD_FORM_FB_AD_AV_090.jpg,STD,AV,7,208.07,77.95,0.375,148.01,364.46
STD_FORM_FB_AD_AV_091.jpg,STD,AV,8,177.94,45.65,0.257,139.9,268.58
STD_FORM_FB_AD_AV_094.jpg,STD,AV,6,246.18,64.24,0.261,207.75,369.18
STD_FORM_FB_AD_AV_111.jpg,STD,AV,8,213.7,17.71,0.083,194.98,234.02
STD_FORM_FB_AD_AV_112.jpg,STD,AV,8,273.61,13.95,0.051,261.83,296.99
STD_FORM_FB_AD_AV_113.jpg,STD,AV,7,286.81,27.63,0.096,255.61,335.08
STD_FORM_FB_AD_AV_114.jpg,STD,AV,7,284.29,33.48,0.118,251.08,347.52
STD_FORM_FB_AD_AV_115.jpg,STD,AV,7,285.2,32.09,0.113,261.18,350.26
STD_FORM_FB_AD_AV_117.jpg,STD,AV,7,277.06,29.28,0.106,245.03,332.24
STD_FORM_FB_AD_AV_118.jpg,STD,AV,6,288.64,31.17,0.108,264.52,330.46
STD_FORM_FB_AD_AV_119.jpg,STD,AV,6,289.33,25.52,0.088,263.28,322.1
STD_FORM_FB_AD_AV_120.jpg,STD,AV,6,292.39,35.54,0.122,266.73,362.12
STD_FORM_FB_AD_AV_121.jpg,STD,AV,5,279.02,33.21,0.119,250.23,317.64
STD_FORM_FB_AD_AV_122.jpg,STD,AV,7,215.13,148.67,0.691,2.22,353.92
STD_FORM_FB_AD_AV_123.jpg,STD,AV,7,280.32,35.87,0.128,256.88,356.5
STD_FORM_FB_AD_AV_124.jpg,STD,AV,7,337.27,25.51,0.076,304.47,375.5
STD_FORM_FB_AD_AV_125.jpg,STD,AV,8,217.38,25.98,0.119,193.65,249.99
STD_FORM_FB_AD_AV_126.jpg,STD,AV,8,269.15,43.37,0.161,240.18,372.75
STD_FORM_FB_AD_AV_127.jpg,STD,AV,8,233.85,42.74,0.183,181.73,308.82
STD_FORM_FB_AD_AV_128.jpg,STD,AV,8,149.08,37.13,0.249,99.32,215.3
STD_FORM_FB_AD_AV_130.jpg,STD,AV,8,179.68,28.28,0.157,155.77,237.13
STD_FORM_FB_AD_AV_131.jpg,STD,AV,8,188.09,49.88,0.265,126.64,265.71
STD_FORM_FB_AD_AV_132.jpg,STD,AV,8,193.14,12.52,0.065,178.19,216.27
STD_FORM_FB_AD_AV_133.jpg,STD,AV,8,165.09,9.22,0.056,156.34,183.31
STD_FORM_FB_AD_AV_134.jpg,STD,AV,6,262.17,46.31,0.177,231.57,344.49
STD_FORM_FB_AD_AV_135.jpg,STD,AV,6,262.85,33.19,0.126,238.85,327.05
STD_FORM_FB_AD_AV_136.jpg,STD,AV,8,164.51,58.26,0.354,115.18,254.82
STD_FORM_FB_AD_AV_137.jpg,STD,AV,8,175.68,65.11,0.371,114.33,302.85
STD_FORM_FB_AD_AV_138.jpg,STD,AV,8,160.27,65.07,0.406,105.46,286.01
STD_FORM_FB_AD_AV_140.jpg,STD,AV,8,180.27,21.83,0.121,147.1,208.3
STD_FORM_FB_AD_AV_142.jpg,STD,AV,8,177.72,25.35,0.143,137.5,196.1
STD_FORM_FB_AD_AV_143.jpg,STD,AV,8,180.3,14.23,0.079,160.61,193.77
STD_FORM_FB_AD_AV_144.jpg,STD,AV,5,261.56,45.74,0.175,211.51,296.58
STD_FORM_FB_AD_AV_145.jpg,STD,AV,7,176.7,136.16,0.771,1.14,387.86
STD_FORM_FB_AD_AV_146.jpg,STD,AV,7,264.38,37.09,0.14,241.27,344.61
STD_FORM_FB_AD_AV_148.jpg,STD,AV,8,136.77,23.56,0.172,113.59,163.65
STD_FORM_FB_AD_AV_149.jpg,STD,AV,5,238.72,65.48,0.274,167.26,295.74
STD_FORM_FB_AD_AV_150.jpg,STD,AV,7,216.82,69.11,0.319,164.76,360.5
STD_FORM_FB_AD_AV_151.jpg,STD,AV,7,211.85,29.12,0.137,173.29,244.09
STD_FORM_FB_AD_AV_152.jpg,STD,AV,5,201.54,12.38,0.061,194.53,223.52
STD_FORM_FB_AD_AV_153.jpg,STD,AV,8,200.97,46.98,0.234,158.14,302.44
