dance_style,images,gt_couples,predicted_couples,avg_gt_per_image,avg_pred_per_image,mean_absolute_error,exact_match_rate,within_one_rate,avg_detection_ratio
LAT,185,1099,1069,5.941,5.778,0.454,67.03,91.89,0.981
STD,183,1314,1323,7.18,7.23,0.29,75.41,95.63,1.009
